number,track,tier,title,body,labels
132,data-science,2,[Data Science] Add a function computing the correlation between `amount` and any nume,"Add a function computing the correlation between `amount` and any numeric column you engineer.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
133,data-science,2,"[Data Science] Write a function `top_n_categories(df, n)` returning the top n categor","Write a function `top_n_categories(df, n)` returning the top n categories by total amount.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
134,data-science,2,[Data Science] Add a docstring to every function in `analysis,"Add a docstring to every function in `analysis.py` that's missing one.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
135,data-science,2,"[Data Science] Write a function that returns summary statistics (mean, median, std) f","Write a function that returns summary statistics (mean, median, std) for `amount`.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
136,data-science,2,[Data Science] Add a histogram function `plot_amount_distribution(df)`,"Add a histogram function `plot_amount_distribution(df)`.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
137,data-science,2,[Data Science] Write a function `missing_value_report(df)` returning percent missing ,"Write a function `missing_value_report(df)` returning percent missing per column.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
138,data-science,2,"[Data Science] Add a function `filter_by_region(df, region)` returning a filtered Dat","Add a function `filter_by_region(df, region)` returning a filtered DataFrame.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
139,data-science,2,[Data Science] Write a function computing the share (%) each category contributes to ,"Write a function computing the share (%) each category contributes to total amount.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
140,data-science,2,[Data Science] Add a boxplot function comparing `amount` across `region`,"Add a boxplot function comparing `amount` across `region`.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
141,data-science,2,[Data Science] Write a function that bins `amount` into 'low/medium/high' categories ,"Write a function that bins `amount` into 'low/medium/high' categories and returns counts per bin.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
142,data-science,2,[Data Science] Add a README section in `data-science/README,"Add a README section in `data-science/README.md` explaining what `dataset.csv` represents.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
143,data-science,2,[Data Science] Write a function `region_with_highest_average(df)` returning the regio,"Write a function `region_with_highest_average(df)` returning the region with highest average amount.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
144,data-science,2,[Data Science] Add a simple train/test split function using an 80/20 ratio (no model ,"Add a simple train/test split function using an 80/20 ratio (no model needed, just the split).

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
145,data-science,2,[Data Science] Write a function returning the count of orders per category as a dicti,"Write a function returning the count of orders per category as a dictionary.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
146,data-science,2,[Data Science] Add a scatter plot function of `amount` vs an index/order sequence,"Add a scatter plot function of `amount` vs an index/order sequence.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
147,data-science,2,[Data Science] Write a function `normalize_amount(df)` adding a new column scaled 0–1,"Write a function `normalize_amount(df)` adding a new column scaled 0–1.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
148,data-science,2,[Data Science] Add a pie chart function showing category share of total amount,"Add a pie chart function showing category share of total amount.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
149,data-science,2,"[Data Science] Write a function `describe_by_group(df, group_col)` returning `","Write a function `describe_by_group(df, group_col)` returning `.describe()` per group.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
150,data-science,2,[Data Science] Add a short markdown note in `data-science/README,"Add a short markdown note in `data-science/README.md` on one insight you found exploring `dataset.csv`.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
